Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p420000_ds0.006_rho2500_nH10_T12_Ep5e7_mu0.50,-2.735958576,-4.201275349,9.114407539,420000,0.006,2500,10,12,0.06,50000000
p500000_ds0.007_rho2500_nH12_T16_Ep5e7_mu0.50,-2.635129929,-3.962814331,9.217434883,500000,0.007,2500,12,16,0.084,50000000
p500000_ds0.007_rho2500_nH12_T18_Ep5e7_mu0.50,-2.742640018,-3.761918783,10.54823875,500000,0.007,2500,12,18,0.084,50000000
p480000_ds0.007_rho2500_nH12_T18_Ep5e7_mu0.50,-2.602474451,-4.397703171,7.826497078,480000,0.007,2500,12,18,0.084,50000000
p400000_ds0.006_rho2500_nH10_T10_Ep5e7_mu0.50,-2.680660009,-4.686982632,7.390146732,400000,0.006,2500,10,10,0.06,50000000
p380000_ds0.007_rho2650_nH10_T18_Ep5e7_mu0.50,-2.727300644,-4.633681297,7.942947388,380000,0.007,2650,10,18,0.07,50000000
p380000_ds0.005_rho2650_nH10_T12_Ep5e7_mu0.50,-2.787939072,-3.365283728,11.69754028,380000,0.005,2650,10,12,0.05,50000000
p340000_ds0.006_rho2600_nH10_T16_Ep5e7_mu0.50,-2.773251057,-4.352951527,8.831414223,340000,0.006,2600,10,16,0.06,50000000
p500000_ds0.006_rho2550_nH15_T10_Ep5e7_mu0.50,-2.521153688,-4.971361637,5.442587852,500000,0.006,2550,15,10,0.09,50000000
p400000_ds0.007_rho2600_nH12_T14_Ep5e7_mu0.50,-2.694967747,-5.439522743,5.298258781,400000,0.007,2600,12,14,0.084,50000000
p400000_ds0.006_rho2500_nH12_T12_Ep5e7_mu0.50,-2.697148323,-5.50298357,5.577778816,400000,0.006,2500,12,12,0.072,50000000
p500000_ds0.006_rho2500_nH15_T12_Ep5e7_mu0.50,-2.695115805,-4.97781992,6.984573364,500000,0.006,2500,15,12,0.09,50000000
p380000_ds0.005_rho2650_nH12_T18_Ep5e7_mu0.50,-2.794433355,-3.174288273,12.24309444,380000,0.005,2650,12,18,0.06,50000000
p460000_ds0.006_rho2550_nH15_T10_Ep5e7_mu0.50,-2.681375027,-5.561899662,4.883829117,460000,0.006,2550,15,10,0.09,50000000
p460000_ds0.006_rho2500_nH15_T12_Ep5e7_mu0.50,-2.650173903,-5.208277702,5.720863819,460000,0.006,2500,15,12,0.09,50000000
p300000_ds0.007_rho2650_nH10_T18_Ep5e7_mu0.50,-2.792716026,-5.79639864,4.972423077,300000,0.007,2650,10,18,0.07,50000000
p300000_ds0.006_rho2600_nH10_T16_Ep5e7_mu0.50,-2.815074682,-5.239740372,6.716773033,300000,0.006,2600,10,16,0.06,50000000
p300000_ds0.006_rho2600_nH10_T14_Ep5e7_mu0.50,-2.917232513,-5.266988754,7.359981537,300000,0.006,2600,10,14,0.06,50000000
p300000_ds0.005_rho2450_nH10_T14_Ep5e7_mu0.50,-2.793245316,-4.079009056,9.818253517,300000,0.005,2450,10,14,0.05,50000000
p300000_ds0.005_rho2650_nH10_T12_Ep5e7_mu0.50,-2.906808615,-4.430290222,9.572244644,300000,0.005,2650,10,12,0.05,50000000
p300000_ds0.005_rho2450_nH10_T18_Ep5e7_mu0.50,-2.85464406,-3.576856136,11.51329327,300000,0.005,2450,10,18,0.05,50000000
p500000_ds0.006_rho2650_nH18_T10_Ep5e7_mu0.50,-2.597157955,-5.289277077,5.078100204,500000,0.006,2650,18,10,0.108,50000000
p500000_ds0.007_rho2500_nH18_T14_Ep5e7_mu0.50,-2.604185343,-5.285094261,5.192082405,500000,0.007,2500,18,14,0.126,50000000
p500000_ds0.006_rho2550_nH18_T10_Ep5e7_mu0.50,-2.641290188,-5.215716362,5.659186363,500000,0.006,2550,18,10,0.108,50000000
p500000_ds0.006_rho2500_nH18_T12_Ep5e7_mu0.50,-2.662824392,-4.905326843,6.717606544,500000,0.006,2500,18,12,0.108,50000000
p400000_ds0.006_rho2450_nH15_T10_Ep5e7_mu0.50,-2.743070126,-6.109500885,3.791073799,400000,0.006,2450,15,10,0.09,50000000
p400000_ds0.006_rho2450_nH15_T12_Ep5e7_mu0.50,-2.763995171,-5.834835529,4.670892239,400000,0.006,2450,15,12,0.09,50000000
p320000_ds0.005_rho2550_nH12_T12_Ep5e7_mu0.50,-2.860804319,-5.0041008,7.617178917,320000,0.005,2550,12,12,0.06,50000000
p460000_ds0.007_rho2500_nH18_T14_Ep5e7_mu0.50,-2.694888353,-5.896256924,3.961120367,460000,0.007,2500,18,14,0.126,50000000
p380000_ds0.006_rho2350_nH15_T10_Ep5e7_mu0.50,-2.746794939,-6.338338375,3.165587902,380000,0.006,2350,15,10,0.09,50000000
p500000_ds0.007_rho2350_nH20_T10_Ep5e7_mu0.50,-2.640894175,-5.989207268,3.473664999,500000,0.007,2350,20,10,0.14,50000000
p500000_ds0.006_rho2500_nH20_T12_Ep5e7_mu0.50,-2.642885447,-5.573328018,4.730285645,500000,0.006,2500,20,12,0.12,50000000
p500000_ds0.005_rho2550_nH20_T10_Ep5e7_mu0.50,-2.673485994,-5.538349628,4.947655678,500000,0.005,2550,20,10,0.1,50000000
p500000_ds0.007_rho2500_nH20_T14_Ep5e7_mu0.50,-2.63118577,-5.311032295,5.332061291,500000,0.007,2500,20,14,0.14,50000000
p500000_ds0.006_rho2650_nH20_T10_Ep5e7_mu0.50,-2.716888666,-5.464907646,5.540204048,500000,0.006,2650,20,10,0.12,50000000
p400000_ds0.006_rho2450_nH18_T12_Ep5e7_mu0.50,-2.708586216,-6.173874855,3.21710968,400000,0.006,2450,18,12,0.108,50000000
p400000_ds0.005_rho2650_nH18_T14_Ep5e7_mu0.50,-2.68129015,-5.145317078,6.037901402,400000,0.005,2650,18,14,0.09,50000000
p200000_ds0.006_rho2800_nH10_T10_Ep5e7_mu0.50,-2.67702961,-6.650161743,1.702356219,200000,0.006,2800,10,10,0.06,50000000
p300000_ds0.006_rho2350_nH15_T10_Ep5e7_mu0.50,-2.92274642,-7.432235241,1.288224578,300000,0.006,2350,15,10,0.09,50000000
p360000_ds0.007_rho2450_nH18_T12_Ep5e7_mu0.50,-2.816540718,-6.859170914,2.213932276,360000,0.007,2450,18,12,0.126,50000000
p200000_ds0.006_rho2350_nH10_T10_Ep5e7_mu0.50,-3.078304529,-8.174429893,0.444904,200000,0.006,2350,10,10,0.06,50000000
