# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Mon Aug 12 19:06:06 2024

Memory usage per processor = 10.9149 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  7.1420304e-06    0.068198267  2.6172639e-06  4.5247665e-06  1.0814848e-36      75.241489              0              0              0              0      -3.684035 
 1001000    12952   3.697945e-06    0.068169137  1.4955038e-06  2.2017301e-06   7.110846e-10      76.791441              0              0              0              0      3.5950092 
 1002000    12952  3.1928059e-06    0.068196546  1.6349436e-06  1.5550158e-06  2.8465157e-09      74.840786              0              0              0              0     -3.6447218 
 1003000    12952  2.0602195e-06    0.068167927  1.1663938e-06  8.8742684e-07  6.3988614e-09      76.195401              0              0              0              0      3.5218483 
 1004000    12952  1.9712632e-06     0.06819434  1.1727402e-06  7.8713944e-07  1.1383527e-08      74.101428              0              0              0              0      -3.582012 
 1005000    12952  1.2077242e-06    0.068165986  9.7214521e-07   2.178091e-07  1.7769863e-08      75.236534              0              0              0              0      3.4389576 
 1006000    12952  1.5340216e-06    0.068191217  1.1992574e-06  3.0916038e-07  2.5603848e-08      73.038789              0              0              0              0     -3.4549017 
 1007000    12952  1.1203278e-06    0.068163015  1.0569919e-06  2.8520977e-08  3.4814901e-08      73.934771              0              0              0              0      3.3527703 
 1008000    12952  1.0781352e-06    0.068186915  9.7464861e-07  5.7991206e-08  4.5495437e-08      71.671937              0              0              0              0     -3.3029764 
 1009000    12952  1.3742538e-06    0.068159582  1.0517727e-06  2.6496001e-07  5.7521142e-08      72.359861              0              0              0              0       3.200989 
 1010000    12952   1.061901e-06    0.068181654  9.4826825e-07  4.2590781e-08  7.1041974e-08      70.069037              0              0              0              0     -3.1204864 
 1011000    12952  2.1579444e-06    0.068155328  1.2218489e-06  8.5022478e-07  8.5870703e-08      70.519528              0              0              0              0      2.9921925 
 1012000    12952  1.4076423e-06    0.068175263   1.087811e-06  2.1760928e-07  1.0222203e-07      68.242718              0              0              0              0     -2.8946461 
 1013000    12952  3.4770546e-06    0.068150239   1.539528e-06   1.817685e-06  1.1984147e-07      68.454081              0              0              0              0      2.7460373 
 1014000    12952  2.0303915e-06    0.068167702  1.3358781e-06  5.5550384e-07  1.3900948e-07      66.203226              0              0              0              0     -2.6279587 
 1015000    12952  5.2495521e-06    0.068144298  2.0169579e-06  3.0731873e-06  1.5940687e-07      66.152073              0              0              0              0      2.4421005 
 1016000    12952  2.9498719e-06     0.06815889  1.7949848e-06    9.73514e-07   1.813731e-07      63.961906              0              0              0              0     -2.3405247 
 1017000    12952  7.2185783e-06    0.068137374  2.5672573e-06  4.4467858e-06  2.0453523e-07      63.651779              0              0              0              0      2.1329107 
 1018000    12952  3.7758589e-06    0.068148838  2.0836511e-06  1.4629306e-06   2.292772e-07      61.517926              0              0              0              0      -1.997627 
 1019000    12952  9.4828438e-06    0.068129421  3.1700804e-06   6.057573e-06  2.5519038e-07      60.950267              0              0              0              0      1.7555953 
 1020000    12952  4.7893615e-06    0.068137575  2.4757126e-06  2.0309673e-06  2.8268157e-07      58.915265              0              0              0              0     -1.6135072 
 1021000    12952  1.1225447e-05    0.068120765  3.5650001e-06  7.3491119e-06  3.1133479e-07      58.112218              0              0              0              0      1.3809625 
 1022000    12952   5.577117e-06     0.06812546  2.8831077e-06  2.3524645e-06  3.4154488e-07      56.211059              0              0              0              0     -1.2346718 
 1023000    12952  1.2962076e-05    0.068110929  4.0571415e-06  8.5320145e-06  3.7292008e-07      55.247031              0              0              0              0      1.0446726 
 1024000    12952  6.1612001e-06    0.068112157  3.3103139e-06  2.4450705e-06  4.0581561e-07      53.432383              0              0              0              0    -0.86095403 
 1025000    12952  1.4221176e-05    0.068100143  4.6014111e-06  9.1798655e-06  4.3989911e-07      52.233109              0              0              0              0     0.66358614 
 1026000    12952  6.3499986e-06    0.068097903  3.5884456e-06  2.2861098e-06  4.7544329e-07      50.507731              0              0              0              0    -0.50799467 
 1027000    12952   1.495555e-05    0.068088019  4.9980844e-06  9.4452525e-06  5.1221291e-07      49.188949              0              0              0              0     0.29860297 
 1028000    12952  6.2619125e-06    0.068082585  3.7208935e-06  1.9906495e-06   5.503694e-07      47.600709              0              0              0              0     -0.1576515 
 1029000    12952  1.4805427e-05    0.068075227  5.3230324e-06  8.8925811e-06  5.8981303e-07      46.092908              0              0              0              0   -0.021473405 
 1030000    12952  7.3266929e-06    0.068066258   5.575732e-06  1.1204277e-06  6.3053329e-07      44.607255              0              0              0              0     0.12649022 
 1031000    12952  1.6111496e-05     0.06805914  6.9562144e-06  8.4826938e-06  6.7258785e-07      43.119437              0              0              0              0    -0.16198376 
 1032000    12952  6.8766417e-06    0.068048733  5.2133638e-06  9.4741261e-07  7.1586536e-07       41.61074              0              0              0              0     0.36359612 
 1033000    12952  1.5758857e-05    0.068043845  7.3196099e-06  7.6787024e-06  7.6054473e-07       39.93228              0              0              0              0    -0.42456025 
 1034000    12952  5.9236813e-06    0.068031043  4.7218245e-06  3.9553789e-07  8.0631895e-07      38.498731              0              0              0              0     0.54197406 
 1035000    12952  1.2856826e-05    0.068027404  5.9135275e-06  6.0897205e-06  8.5357839e-07      36.901203              0              0              0              0    -0.64475821 
 1036000    12952  6.6175754e-06    0.068012206  5.6789998e-06   3.677424e-08  9.0180129e-07      35.635628              0              0              0              0     0.75008871 
 1037000    12952  1.1606425e-05    0.068009056  6.2041071e-06  4.4507258e-06  9.5159169e-07      33.931395              0              0              0              0    -0.76775282 
 1038000    12952  7.3803459e-06    0.067992447  6.2014271e-06  1.7667861e-07  1.0022402e-06      32.745705              0              0              0              0      0.8172951 
 1039000    12952  1.0592274e-05    0.067989383  6.4311349e-06  3.1066231e-06  1.0545157e-06      31.029544              0              0              0              0    -0.83071077 
 1040000    12952  7.5447688e-06    0.067972403  5.8697971e-06  5.6739601e-07  1.1075757e-06      29.839765              0              0              0              0     0.82931448 
 1041000    12952  1.0332012e-05    0.067968842  6.9424972e-06  2.2272343e-06    1.16228e-06      28.262334              0              0              0              0    -0.81865856 
 1042000    12952  1.0059077e-05    0.067951311  7.3009721e-06  1.5404032e-06  1.2177021e-06      27.079289              0              0              0              0     0.76146866 
 1043000    12952   1.038962e-05    0.067946282  7.5132351e-06  1.6016295e-06  1.2747558e-06      25.595513              0              0              0              0    -0.74274267 
 1044000    12952  1.1270402e-05    0.067929324  7.9484204e-06  1.9894454e-06  1.3325359e-06      24.320584              0              0              0              0      0.7654265 
 1045000    12952  1.0330014e-05     0.06792412  7.8154216e-06   1.122652e-06  1.3919406e-06      22.802607              0              0              0              0    -0.67161901 
 1046000    12952  1.2890878e-05    0.067907254   8.478513e-06  2.9603444e-06  1.4520206e-06      21.515957              0              0              0              0     0.63569764 
 1047000    12952  1.5202915e-05    0.067900865  1.2772374e-05  9.1685287e-07  1.5136883e-06      19.998013              0              0              0              0    -0.85099357 
 1048000    12952   1.503768e-05    0.067881164  9.1257989e-06   4.335994e-06  1.5758871e-06       19.11453              0              0              0              0     0.91840778 
 1049000    12952  1.2351104e-05    0.067876624  1.0453339e-05  2.5785964e-07  1.6399051e-06      17.242975              0              0              0              0    -0.89950066 
 1050000    12952  1.8716585e-05    0.067858564  1.1064108e-05   5.948098e-06  1.7043789e-06      16.170418              0              0              0              0     0.61181053 
 1051000    12952  1.2878221e-05    0.067850181  1.0831912e-05  2.7588235e-07  1.7704262e-06      14.822361              0              0              0              0    -0.47709786 
 1052000    12952   2.192115e-05    0.067834457  1.3802749e-05  6.2812268e-06  1.8371739e-06      13.676186              0              0              0              0     0.30743933 
 1053000    12952  1.3033573e-05    0.067823548  1.0853697e-05  2.7463003e-07  1.9052454e-06       12.48234              0              0              0              0    -0.22452045 
 1054000    12952  2.4242518e-05    0.067809482   1.559213e-05    6.67619e-06  1.9741975e-06      11.399333              0              0              0              0    0.064420539 
