# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Wed Aug  7 22:33:54 2024

Memory usage per processor = 10.9157 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  6.8669056e-06     0.06853144  1.9293603e-06  4.9375453e-06  2.3225581e-36      74.211996              0              0              0              0     -2.5745434 
 1001000    12952  1.1754037e-05     0.06851123  2.9365079e-06  8.8160017e-06  1.5275073e-09      75.110836              0              0              0              0      2.4021641 
 1002000    12952  1.1883868e-05    0.068528195  2.9245833e-06  8.9531723e-06  6.1128051e-09      73.721705              0              0              0              0     -2.1444035 
 1003000    12952  1.5362668e-05    0.068511219  3.5398112e-06  1.1809111e-05  1.3746116e-08      74.208187              0              0              0              0      1.9224753 
 1004000    12952  1.4092618e-05    0.068524048  3.5178511e-06  1.0550323e-05  2.4444399e-08        72.8244              0              0              0              0     -1.7107279 
 1005000    12952  1.8442552e-05    0.068510141  4.1701891e-06  1.4234189e-05  3.8174418e-08       72.84517              0              0              0              0      1.4535557 
 1006000    12952  1.5408234e-05    0.068518636  3.8920579e-06  1.1461199e-05  5.4976737e-08      71.451391              0              0              0              0     -1.2473346 
 1007000    12952  2.0533464e-05    0.068507913  4.6520632e-06  1.5806608e-05  7.4793369e-08      71.015859              0              0              0              0     0.95706483 
 1008000    12952  1.5587651e-05    0.068511912  4.0420252e-06  1.1447944e-05  9.7681236e-08      69.641982              0              0              0              0    -0.76379324 
 1009000    12952  2.1399229e-05    0.068504441  4.8991108e-06  1.6376544e-05  1.2357343e-07      68.809699              0              0              0              0     0.46574431 
 1010000    12952  1.4597454e-05    0.068503849  3.9497412e-06  1.0495194e-05  1.5251873e-07      67.470191              0              0              0              0    -0.28032722 
 1011000    12952  2.0928218e-05    0.068499622  4.9813811e-06  1.5762362e-05  1.8447422e-07      66.238917              0              0              0              0   -0.020031068 
 1012000    12952   1.265696e-05    0.068494466  3.6435157e-06  8.7940043e-06  2.1943969e-07      64.946611              0              0              0              0     0.22282816 
 1013000    12952  1.9576015e-05    0.068493196  4.9096341e-06  1.4408938e-05  2.5744299e-07      63.386127              0              0              0              0    -0.46403806 
 1014000    12952  1.0283352e-05    0.068483733   3.422315e-06   6.562653e-06  2.9838388e-07      62.156946              0              0              0              0     0.65168954 
 1015000    12952  1.7221257e-05    0.068485321  4.8251207e-06  1.2053718e-05  3.4241815e-07      60.304371              0              0              0              0    -0.87646672 
 1016000    12952  7.7191828e-06    0.068471814  3.3668488e-06  3.9630514e-06  3.8928263e-07      59.066412              0              0              0              0      1.0493099 
 1017000    12952  1.5135003e-05     0.06847543  5.0589982e-06  9.6366849e-06  4.3931962e-07      57.021639              0              0              0              0     -1.2159234 
 1018000    12952  5.9009133e-06    0.068458185  3.5612848e-06  1.8475795e-06  4.9204895e-07      55.780142              0              0              0              0      1.4007952 
