# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  0.00010468814    0.064592854    9.03718e-05  3.0858625e-06  1.1230479e-05      73.573315              0              0              0              0    -0.16795498 
 1001000    12952  0.00029126393    0.064567651  0.00025088113  2.9161087e-05  1.1221717e-05      69.132254              0              0              0              0      0.4402681 
 1002000    12952   4.566983e-05    0.064532789  2.7464088e-05  6.9961398e-06  1.1209602e-05      62.241655              0              0              0              0      1.2748092 
 1003000    12952  0.00011702816    0.064517958  0.00010582145  2.2646606e-09  1.1204451e-05      63.887832              0              0              0              0      1.0922567 
 1004000    12952  8.8151584e-05    0.064516332    7.51722e-05  1.7754983e-06  1.1203886e-05      56.042568              0              0              0              0     -1.4734967 
 1005000    12952  7.7114717e-05    0.064485669  4.9317717e-05  1.6603762e-05  1.1193238e-05      56.999893              0              0              0              0     -0.2548844 
 1006000    12952  0.00012386136    0.064455833  0.00010580038  6.8781001e-06  1.1182883e-05      51.323233              0              0              0              0     0.18379796 
 1007000    12952    4.77034e-05    0.064446332  3.6489177e-05  3.4636689e-08  1.1179586e-05      50.148405              0              0              0              0   -0.024892799 
 1008000    12952  0.00012440195    0.064437425  0.00010429273  8.9327152e-06  1.1176496e-05      45.910888              0              0              0              0    -0.74846179 
 1009000    12952  6.7115061e-05    0.064404341  4.0474602e-05  1.5475436e-05  1.1165023e-05      44.245194              0              0              0              0     0.57380891 
 1010000    12952  0.00011028949      0.0643793  9.6464992e-05  2.6681543e-06  1.1156342e-05      40.771415              0              0              0              0     0.81262029 
 1011000    12952  5.0543687e-05    0.064373324  3.9344199e-05  4.5216602e-08  1.1154271e-05      38.833494              0              0              0              0    -0.20693221 
 1012000    12952   0.0001099547    0.064358823  8.8040605e-05  1.0764851e-05  1.1149246e-05      35.502997              0              0              0              0    -0.76679939 
 1013000    12952  6.9006215e-05    0.064325287  4.6066406e-05  1.1802178e-05   1.113763e-05      33.976835              0              0              0              0     0.40689374 
 1014000    12952  8.6286206e-05    0.064306057  7.3834077e-05  1.3211571e-06  1.1130972e-05      30.689629              0              0              0              0     0.25242041 
 1015000    12952  6.0435657e-05    0.064299289  4.8239401e-05  1.0676272e-06  1.1128629e-05      29.278313              0              0              0              0    -0.40019858 
 1016000    12952  8.6071675e-05    0.064280381  6.2389888e-05  1.2559701e-05  1.1122085e-05      26.043955              0              0              0              0    -0.45751995 
 1017000    12952  8.0161785e-05    0.064248846   6.020196e-05  8.8486501e-06  1.1111175e-05       24.92228              0              0              0              0     0.70857687 
 1018000    12952  6.0951708e-05    0.064235099   4.944364e-05   4.016477e-07  1.1106421e-05      21.894025              0              0              0              0     0.22528209 
 1019000    12952  8.7027548e-05    0.064226853  7.2860838e-05  3.0631402e-06   1.110357e-05      20.593913              0              0              0              0    -0.47253306 
 1020000    12952  6.8740854e-05    0.064202944   4.557184e-05   1.207371e-05  1.1095304e-05      18.162929              0              0              0              0    -0.14197735 
 1021000    12952   9.467181e-05    0.064175453  7.8278726e-05  5.3072793e-06  1.1085804e-05      16.432554              0              0              0              0     0.56846348 
 1022000    12952  5.5984012e-05    0.064165359  4.4680179e-05  2.2151513e-07  1.1082318e-05      14.699897              0              0              0              0   -0.026071917 
 1023000    12952  8.8198796e-05    0.064154905  7.1096257e-05  6.0238316e-06  1.1078707e-05      12.544446              0              0              0              0    -0.66675965 
 1024000    12952  8.3082104e-05    0.064126132  5.9694385e-05  1.2318947e-05  1.1068771e-05      11.286234              0              0              0              0     0.24558687 
 1025000    12952  6.7087291e-05    0.064103637  5.3752488e-05  2.2737962e-06  1.1061007e-05      9.0735361              0              0              0              0     0.46634442 
 1026000    12952  8.1149879e-05    0.064096323  6.9578565e-05  5.1283027e-07  1.1058483e-05      7.7936484              0              0              0              0    -0.19516966 
 1027000    12952  6.6793506e-05    0.064083088  4.9144233e-05  6.5953566e-06  1.1053917e-05      6.0243762              0              0              0              0    -0.47065653 
 1028000    12952  9.0009455e-05    0.064056168  6.9276523e-05  9.6883001e-06  1.1044632e-05      4.3227239              0              0              0              0     0.31181629 
 1029000    12952  6.8360055e-05    0.064037937  5.6283435e-05  1.0382742e-06  1.1038346e-05      3.1287928              0              0              0              0     0.42790905 
 1030000    12952   6.656559e-05    0.064031967  5.4548961e-05  9.8034146e-07  1.1036288e-05       1.341039              0              0              0              0    -0.43209941 
 1031000    12952  8.9276178e-05    0.064014283   6.915536e-05  9.0906242e-06  1.1030193e-05     0.13407299              0              0              0              0    -0.28109839 
 1032000    12952  6.9662813e-05     0.06398818   5.243202e-05  6.2095946e-06  1.1021199e-05     -1.2473485              0              0              0              0     0.44625898 
 1033000    12952  7.4431646e-05    0.063975027  6.2786732e-05  6.2824541e-07  1.1016669e-05     -2.7262578              0              0              0              0     0.15630391 
 1034000    12952  7.7143147e-05    0.063966685  6.3702888e-05  2.4264629e-06  1.1013796e-05     -3.7576557              0              0              0              0    -0.39548153 
 1035000    12952  7.1918774e-05    0.063946264  5.2454677e-05  8.4573329e-06  1.1006765e-05     -5.1873037              0              0              0              0   -0.042574853 
 1036000    12952  7.8898978e-05    0.063924243  6.4500079e-05  3.3997146e-06  1.0999185e-05     -6.4818658              0              0              0              0     0.42798672 
 1037000    12952   7.098109e-05     0.06391473  5.9508425e-05  4.7675356e-07  1.0995912e-05     -7.4869953              0              0              0              0   -0.021591102 
 1038000    12952  7.1401301e-05    0.063904564  5.6622523e-05  3.7863634e-06  1.0992414e-05     -8.7888297              0              0              0              0    -0.42334118 
 1039000    12952  8.8031795e-05    0.063882297  6.9269173e-05  7.7778662e-06  1.0984755e-05     -9.8277416              0              0              0              0     0.12408838 
 1040000    12952  6.7963508e-05    0.063863991  5.5367322e-05  1.6177257e-06   1.097846e-05     -10.883336              0              0              0              0     0.38050701 
 1041000    12952  7.0281572e-05     0.06385692  5.8622645e-05  6.8289762e-07  1.0976029e-05     -12.111881              0              0              0              0    -0.18977977 
 1042000    12952  8.2757546e-05    0.063843795  6.6579058e-05  5.2069705e-06  1.0971518e-05     -12.987867              0              0              0              0    -0.27801578 
 1043000    12952  7.3001437e-05    0.063822297   5.669416e-05  5.3431471e-06   1.096413e-05     -14.079857              0              0              0              0     0.23045884 
 1044000    12952  7.3241436e-05    0.063808503   6.144151e-05  8.4053513e-07  1.0959392e-05     -15.178225              0              0              0              0     0.25443194 
 1045000    12952  7.3347301e-05    0.063801846  6.1285912e-05  1.1042839e-06  1.0957105e-05     -16.056924              0              0              0              0    -0.26357646 
 1046000    12952  7.5511697e-05    0.063787096  5.9288159e-05  5.2714994e-06  1.0952039e-05     -17.111283              0              0              0              0    -0.15753945 
 1047000    12952  7.8642199e-05    0.063767615  6.4188886e-05  3.5079629e-06  1.0945351e-05     -18.115213              0              0              0              0     0.31697048 
 1048000    12952   7.325762e-05     0.06375688  6.1729078e-05   5.868763e-07  1.0941666e-05     -18.988873              0              0              0              0      0.1014088 
 1049000    12952  7.1326373e-05    0.063748895  5.8494377e-05  1.8930705e-06  1.0938925e-05     -19.915837              0              0              0              0    -0.29394917 
 1050000    12952  7.9370933e-05    0.063732057  6.3175228e-05  5.2625579e-06  1.0933148e-05     -20.900333              0              0              0              0   -0.016510285 
 1051000    12952  7.4837824e-05    0.063714809  6.1726046e-05  2.1845472e-06   1.092723e-05     -21.764315              0              0              0              0     0.28200265 
 1052000    12952  7.1189077e-05    0.063705975  5.9564523e-05  7.0035361e-07  1.0924201e-05     -22.628482              0              0              0              0   -0.070739473 
 1053000    12952  7.6836718e-05    0.063695594  6.2989023e-05  2.9270545e-06  1.0920641e-05     -23.472589              0              0              0              0    -0.23267364 
 1054000    12952  7.8605332e-05    0.063678234  6.3450611e-05  4.2400322e-06  1.0914689e-05     -24.304164              0              0              0              0     0.12998666 
 1055000    12952  7.3255171e-05    0.063664302  6.1081837e-05  1.2634216e-06  1.0909913e-05     -25.120892              0              0              0              0     0.20802925 
 1056000    12952  7.3585601e-05     0.06365653  6.1746207e-05  9.3214447e-07   1.090725e-05       -25.9387              0              0              0              0    -0.15194331 
 1057000    12952  8.1677868e-05    0.063643996  6.6767104e-05  4.0078092e-06  1.0902955e-05     -26.605955              0              0              0              0    -0.19614976 
 1058000    12952  8.0056662e-05    0.063624935  6.4786394e-05  4.3738426e-06  1.0896425e-05     -27.359591              0              0              0              0     0.25861514 
 1059000    12952  7.3078545e-05    0.063612073  6.1521423e-05  6.6510207e-07   1.089202e-05     -28.266865              0              0              0              0     0.25138889 
 1060000    12952  7.7005783e-05    0.063606618  6.5493717e-05  6.2191347e-07  1.0890152e-05     -28.978051              0              0              0              0    -0.21928972 
 1061000    12952  8.1446027e-05    0.063594073  6.6379285e-05  4.1808849e-06  1.0885857e-05     -29.706238              0              0              0              0    -0.18996126 
 1062000    12952  7.3142335e-05    0.063576454   5.930337e-05  2.9591388e-06  1.0879826e-05     -30.562196              0              0              0              0     0.26288163 
 1063000    12952  7.5340669e-05    0.063567214  6.4132159e-05  3.3184639e-07  1.0876663e-05     -31.309005              0              0              0              0      0.1252721 
 1064000    12952   7.763375e-05    0.063561661  6.5701566e-05  1.0574213e-06  1.0874763e-05     -31.947964              0              0              0              0     -0.2593077 
 1065000    12952  7.3839944e-05    0.063548142  5.9246995e-05  3.7228114e-06  1.0870138e-05     -32.702058              0              0              0              0   -0.037708914 
 1066000    12952  7.3246167e-05    0.063533471  6.0889751e-05  1.4912966e-06  1.0865119e-05     -33.544133              0              0              0              0     0.27623462 
 1067000    12952  7.7795498e-05    0.063526819  6.6622976e-05  3.0967856e-07  1.0862844e-05     -34.124727              0              0              0              0   -0.062069587 
 1068000    12952  7.6731183e-05    0.063518933  6.3873369e-05  1.9976664e-06  1.0860147e-05      -34.68384              0              0              0              0    -0.24588676 
 1069000    12952  7.5736772e-05    0.063503996   6.181496e-05  3.0667723e-06   1.085504e-05      -35.47367              0              0              0              0     0.11027861 
 1070000    12952  7.6415562e-05     0.06349289  6.4987515e-05  5.7680368e-07  1.0851244e-05     -36.171613              0              0              0              0     0.18962316 
 1071000    12952  7.5299782e-05    0.063488229   6.407615e-05  3.7398102e-07  1.0849651e-05     -36.681303              0              0              0              0    -0.17852221 
 1072000    12952  7.0873678e-05    0.063479221  5.7740572e-05   2.286534e-06  1.0846572e-05     -37.434749              0              0              0              0    -0.15056117 
 1073000    12952  7.7266336e-05    0.063465478   6.433881e-05  2.0856502e-06  1.0841876e-05     -38.210084              0              0              0              0     0.18236634 
 1074000    12952  7.9685369e-05    0.063456893  6.8463027e-05  3.8339865e-07  1.0838943e-05     -38.745158              0              0              0              0     0.11009549 
 1075000    12952  7.4686823e-05    0.063451494  6.3071519e-05  7.7820565e-07  1.0837099e-05     -39.271588              0              0              0              0     -0.1933887 
 1076000    12952  7.5737707e-05    0.063440529  6.2485882e-05   2.418471e-06  1.0833354e-05     -40.026242              0              0              0              0    -0.06272719 
 1077000    12952   8.193056e-05    0.063428346   6.990855e-05  1.1928161e-06  1.0829193e-05     -40.608933              0              0              0              0     0.18845652 
 1078000    12952  7.7340544e-05     0.06342223  6.6281018e-05  2.3242156e-07  1.0827105e-05       -41.1198              0              0              0              0    0.021891735 
 1079000    12952  7.2199443e-05    0.063416478  6.0329388e-05  1.0449137e-06  1.0825141e-05     -41.723133              0              0              0              0    -0.17419573 
 1080000    12952  8.1958299e-05    0.063405702  6.9428388e-05  1.7084488e-06  1.0821462e-05     -42.401664              0              0              0              0     0.11194823 
 1081000    12952  7.7971637e-05    0.063397104  6.6761634e-05  3.9147521e-07  1.0818528e-05     -42.927378              0              0              0              0     0.16272221 
 1082000    12952   7.554272e-05     0.06339327  6.4503528e-05  2.2197317e-07   1.081722e-05     -43.430176              0              0              0              0    -0.12613168 
 1083000    12952   7.990542e-05    0.063385991  6.7656298e-05  1.4343866e-06  1.0814735e-05     -44.032594              0              0              0              0    -0.15299037 
 1084000    12952  7.9144891e-05    0.063375345  6.7230009e-05  1.1037791e-06  1.0811103e-05      -44.54759              0              0              0              0     0.14005939 
 1085000    12952   7.760883e-05    0.063369644  6.6658818e-05   1.408534e-07  1.0809158e-05     -45.069643              0              0              0              0     0.06055697 
 1086000    12952  7.8476082e-05    0.063365915    6.71919e-05  4.7629547e-07  1.0807886e-05     -45.493084              0              0              0              0    -0.18228957 
 1087000    12952   7.928664e-05    0.063357117  6.6956512e-05  1.5252437e-06  1.0804885e-05      -45.95778              0              0              0              0  0.00020149123 
 1088000    12952  8.6552298e-05    0.063348113  7.5243437e-05  5.0704719e-07  1.0801814e-05     -46.495496              0              0              0              0     0.19460594 
 1089000    12952  7.7287611e-05    0.063344041  6.6349205e-05  1.3798087e-07  1.0800425e-05      -46.83155              0              0              0              0   -0.061674407 
 1090000    12952  7.6657481e-05    0.063339535  6.5303206e-05  5.5538627e-07  1.0798889e-05     -47.399453              0              0              0              0     -0.1128165 
 1091000    12952  7.8204762e-05    0.063332112  6.6597831e-05  8.1057342e-07  1.0796358e-05     -47.935163              0              0              0              0    0.048245316 
 1092000    12952   8.461293e-05    0.063325963  7.3543076e-05  2.7559247e-07  1.0794262e-05     -48.274491              0              0              0              0     0.11963122 
 1093000    12952  7.5052054e-05    0.063321682  6.3924294e-05  3.3495728e-07  1.0792802e-05     -48.494617              0              0              0              0   -0.042691246 
