# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 2000000    12952  0.00018667302     0.06894555  0.00011943204  5.4445931e-05  1.2795045e-05      73.772257              0              0              0              0      1.3713903 
 2001000    12952  0.00036786168      0.0689217  0.00010588406  0.00024919142  1.2786194e-05      62.418087              0              0              0              0     -1.3108059 
 2002000    12952   0.0001713038    0.068864991  0.00012103934  3.7499295e-05  1.2765162e-05      53.404956              0              0              0              0      3.8643042 
 2003000    12952  0.00031311142    0.068867508   0.0001396072  0.00016073812  1.2766095e-05      43.090154              0              0              0              0     -4.1204673 
 2004000    12952  9.9326634e-05    0.068796694  7.6608898e-05  9.9778808e-06  1.2739855e-05      37.387385              0              0              0              0      4.4664222 
 2005000    12952  0.00017880173    0.068807081  8.4828887e-05  8.1229139e-05  1.2743702e-05      31.990308              0              0              0              0     -5.1123701 
 2006000    12952   0.0001012922    0.068726204  8.7935311e-05  6.4313076e-07  1.2713761e-05      28.624638              0              0              0              0      5.6039812 
 2007000    12952  0.00011694695    0.068739993  7.5469338e-05  2.8758752e-05  1.2718863e-05      23.104508              0              0              0              0     -5.3963933 
 2008000    12952  0.00010901312     0.06866271  8.2416521e-05  1.3906315e-05   1.269028e-05      20.704625              0              0              0              0       5.016337 
 2009000    12952  0.00010714305    0.068670021  8.8127931e-05  6.3221337e-06  1.2692983e-05      16.308654              0              0              0              0      -4.528221 
 2010000    12952  0.00011892663    0.068604473  7.6529394e-05  2.9728477e-05  1.2668763e-05      13.891935              0              0              0              0      3.9285046 
 2011000    12952  9.5026633e-05    0.068604788  8.1728766e-05  6.2898836e-07  1.2668879e-05      10.142645              0              0              0              0     -3.5139745 
 2012000    12952    0.000144744    0.068548323  8.3849341e-05  4.8246629e-05  1.2648033e-05      8.3726395              0              0              0              0       2.875815 
 2013000    12952  8.0403514e-05    0.068538512  6.7732626e-05   2.647494e-08  1.2644413e-05      5.3194241              0              0              0              0     -2.3485495 
 2014000    12952  0.00016381836    0.068492676  9.4529896e-05  5.6660955e-05  1.2627506e-05      3.8720092              0              0              0              0      1.5292243 
 2015000    12952  8.8372344e-05    0.068470651  7.5668879e-05   8.407792e-08  1.2619387e-05      1.4989427              0              0              0              0    -0.94792286 
 2016000    12952  0.00014259872    0.068436664  8.3583539e-05  4.6408315e-05  1.2606862e-05    -0.14880568              0              0              0              0     0.65534815 
 2017000    12952  9.5134703e-05    0.068410255  8.2514243e-05  2.3326004e-08  1.2597134e-05     -2.4619952              0              0              0              0    -0.10293584 
 2018000    12952  0.00015589151    0.068383204  0.00010161898   4.168536e-05  1.2587174e-05     -3.4887143              0              0              0              0   -0.096371801 
 2019000    12952  7.0727844e-05    0.068354868   5.812289e-05  2.8209393e-08  1.2576744e-05      -5.986565              0              0              0              0     0.32016956 
 2020000    12952  0.00014200653     0.06833392  9.7188418e-05  3.2249077e-05  1.2569037e-05     -7.5736759              0              0              0              0    -0.60764192 
 2021000    12952  9.3567416e-05    0.068301941  8.0417568e-05  5.9257257e-07  1.2557276e-05     -8.7198806              0              0              0              0     0.75368615 
 2022000    12952  0.00010840373    0.068283784  7.3507919e-05  2.2345212e-05    1.25506e-05     -10.435671              0              0              0              0    -0.75322812 
 2023000    12952  9.2316418e-05    0.068252434  7.8421858e-05  1.3554814e-06  1.2539078e-05     -11.931969              0              0              0              0     0.78865218 
 2024000    12952  0.00011299768    0.068233992  8.0888552e-05  1.9576824e-05  1.2532303e-05       -12.8456              0              0              0              0    -0.69151316 
 2025000    12952  8.8810524e-05    0.068203667  7.4860596e-05  1.4287618e-06  1.2521166e-05     -14.778284              0              0              0              0     0.93019479 
 2026000    12952  0.00011953088    0.068185902  9.0941565e-05  1.6074671e-05  1.2514644e-05     -15.461558              0              0              0              0    -0.47576869 
 2027000    12952  8.0755923e-05    0.068157942  6.6064548e-05   2.186992e-06  1.2504383e-05     -16.728229              0              0              0              0     0.60481976 
 2028000    12952  0.00012565248    0.068137283  9.4357496e-05  1.8798183e-05  1.2496804e-05     -17.703332              0              0              0              0    -0.61118212 
 2029000    12952  8.7349733e-05    0.068106826  7.3275029e-05  1.5890692e-06  1.2485634e-05     -18.557875              0              0              0              0      1.0467535 
 2030000    12952  0.00010567334    0.068092931  8.1285225e-05  1.1907572e-05   1.248054e-05     -19.972675              0              0              0              0    -0.80001199 
 2031000    12952  9.4557735e-05    0.068064486  7.8990542e-05  3.0970771e-06  1.2470115e-05     -20.760851              0              0              0              0     0.81534578 
 2032000    12952  9.9246019e-05    0.068048933  7.7407147e-05  9.3744553e-06  1.2464417e-05     -21.582317              0              0              0              0    -0.62496775 
 2033000    12952  0.00010198008    0.068020619   8.393831e-05   5.587719e-06  1.2454047e-05     -22.159583              0              0              0              0     0.72381567 
 2034000    12952  0.00014411587    0.068001534  0.00012159843  1.0070386e-05  1.2447059e-05     -22.525994              0              0              0              0    -0.30664597 
 2035000    12952  8.1318213e-05    0.067974104  6.4582942e-05  4.2982509e-06   1.243702e-05     -23.454364              0              0              0              0     0.99757078 
 2036000    12952  7.7481328e-05    0.067961956  5.9366122e-05  5.6826311e-06  1.2432575e-05     -24.741692              0              0              0              0    -0.74795372 
 2037000    12952  0.00011457005    0.067936736  9.7126081e-05  5.0206193e-06  1.2423349e-05     -25.360728              0              0              0              0      0.7597025 
 2038000    12952  8.2038908e-05      0.0679226  6.5807249e-05  3.8134793e-06  1.2418179e-05     -26.090824              0              0              0              0    -0.37187529 
 2039000    12952  9.4327599e-05    0.067901441  7.6144499e-05  5.7726565e-06  1.2410444e-05     -27.362708              0              0              0              0     0.24101768 
 2040000    12952  0.00011687616    0.067884385  9.9342354e-05  5.1295995e-06   1.240421e-05     -27.342845              0              0              0              0    -0.38465371 
 2041000    12952  9.2380957e-05    0.067862545  7.6302101e-05  3.6826269e-06   1.239623e-05     -28.303569              0              0              0              0     0.59819185 
 2042000    12952  0.00010045294    0.067849023  8.3050462e-05  5.0111845e-06   1.239129e-05     -29.299492              0              0              0              0    -0.57719754 
 2043000    12952  0.00010139121    0.067825853   8.436822e-05  4.6401603e-06  1.2382829e-05     -29.891527              0              0              0              0     0.34856723 
 2044000    12952  8.0161853e-05    0.067813548  6.5835779e-05  1.9477376e-06  1.2378336e-05     -30.625829              0              0              0              0    -0.16023682 
 2045000    12952  7.9647498e-05    0.067797747  6.3468481e-05  3.8064487e-06  1.2372568e-05     -31.760657              0              0              0              0    0.067420703 
 2046000    12952  9.7446132e-05    0.067783744  8.2363888e-05  2.7147858e-06  1.2367458e-05     -32.384511              0              0              0              0    -0.18997086 
 2047000    12952  0.00011214786    0.067762975  8.9593911e-05  1.0194072e-05   1.235988e-05     -31.904658              0              0              0              0    -0.12645549 
 2048000    12952  7.3419822e-05    0.067749432   6.096599e-05  9.8891628e-08   1.235494e-05     -33.472516              0              0              0              0      0.1148007 
 2049000    12952  0.00010361578    0.067737647  7.9940544e-05  1.1324595e-05  1.2350642e-05     -34.354709              0              0              0              0    -0.25786697 
 2050000    12952  9.4135598e-05    0.067720619  8.1790886e-05  2.7861479e-10  1.2344434e-05     -34.842454              0              0              0              0     0.44583719 
 2051000    12952  9.3221111e-05     0.06771077  7.0644561e-05  1.0235707e-05  1.2340843e-05     -35.102519              0              0              0              0    -0.69270298 
