# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952   0.0003924164    0.068401412  0.00022396106  0.00015636522  1.2090122e-05      73.147531              0              0              0              0     -3.6927615 
 1001000    12952  0.00073953701    0.068329253  0.00018785435  0.00053961803  1.2064627e-05      63.043328              0              0              0              0      4.0244808 
 1002000    12952  0.00034382214    0.068302124  0.00016011508  0.00017165201  1.2055049e-05      52.218982              0              0              0              0     0.13472812 
 1003000    12952  0.00057170296    0.068277432  0.00017547535  0.00038418128  1.2046335e-05      43.341469              0              0              0              0    -0.65057122 
 1004000    12952  0.00023767851    0.068230733  0.00011642055   0.0001092281  1.2029862e-05      36.537445              0              0              0              0      1.8459867 
 1005000    12952  0.00040296489    0.068220709  0.00012052878  0.00027040979  1.2026327e-05      31.610672              0              0              0              0     -2.6654759 
 1006000    12952  0.00015720022    0.068156985    9.19787e-05  5.3217654e-05   1.200387e-05      27.739604              0              0              0              0      3.8172347 
 1007000    12952   0.0003015233     0.06815886  0.00010857772  0.00018094105  1.2004531e-05      22.853839              0              0              0              0     -4.2649005 
 1008000    12952  0.00010392175    0.068083706  7.8752806e-05  1.3190874e-05  1.1978072e-05      19.944221              0              0              0              0      4.9415988 
 1009000    12952  0.00019221832    0.068094268  8.9152401e-05  9.1084134e-05  1.1981789e-05      15.828003              0              0              0              0      -5.036232 
 1010000    12952  7.8113055e-05    0.068017738  6.5858321e-05  2.9986246e-07  1.1954872e-05      13.406858              0              0              0              0      5.2237363 
 1011000    12952  0.00013523773    0.068029813   8.024202e-05  4.3036596e-05  1.1959117e-05       10.22242              0              0              0              0     -5.2125578 
 1012000    12952   8.698683e-05    0.067955169  7.0413284e-05  4.6406577e-06  1.1932888e-05      7.9167582              0              0              0              0      5.0015199 
 1013000    12952  0.00010239501    0.067964898  7.5126842e-05   1.533186e-05  1.1936305e-05      5.4564182              0              0              0              0     -4.7429425 
 1014000    12952  0.00010060463     0.06789687  7.0998648e-05  1.7693555e-05  1.1912422e-05      3.7082135              0              0              0              0      4.1985341 
 1015000    12952  8.4255737e-05    0.067897231  6.5992412e-05  6.3507757e-06  1.1912549e-05      1.6381256              0              0              0              0     -3.7330155 
 1016000    12952  0.00011304326    0.067840275  7.8419006e-05  2.2731681e-05  1.1892571e-05    -0.37922129              0              0              0              0      3.0916309 
 1017000    12952  9.1657962e-05    0.067834512  7.7390243e-05  2.3771682e-06  1.1890551e-05     -2.4134093              0              0              0              0     -2.6576999 
 1018000    12952  0.00011640725    0.067787102  7.8830743e-05  2.5702569e-05  1.1873936e-05     -4.3040749              0              0              0              0      2.4806209 
 1019000    12952  0.00010071036    0.067778481  8.7727195e-05  1.1122486e-06  1.1870916e-05     -5.9104589              0              0              0              0     -2.3928229 
 1020000    12952  0.00011765253    0.067732815  7.6037824e-05  2.9759784e-05  1.1854925e-05     -7.0990787              0              0              0              0      2.2976871 
 1021000    12952  9.3222013e-05    0.067722881  8.1263012e-05  1.0755376e-07  1.1851448e-05     -8.9959745              0              0              0              0     -1.8839221 
 1022000    12952  0.00012835283    0.067685849  8.6502079e-05  3.0012258e-05   1.183849e-05     -10.438956              0              0              0              0      1.2943328 
 1023000    12952  9.6103186e-05    0.067668069  8.3697033e-05  5.7388102e-07  1.1832272e-05     -11.555329              0              0              0              0    -0.99622531 
 1024000    12952  0.00010476833    0.067636743  7.1324095e-05  2.1622916e-05  1.1821319e-05     -13.357573              0              0              0              0      1.0354988 
 1025000    12952  8.1706513e-05     0.06762061  6.9612671e-05  2.7816203e-07   1.181568e-05      -14.83704              0              0              0              0    -0.61768895 
 1026000    12952  0.00010772093    0.067594452  7.5225779e-05  2.0688612e-05  1.1806541e-05     -16.241217              0              0              0              0     0.37323119 
 1027000    12952  8.0264179e-05    0.067574676  6.7994654e-05  4.6989154e-07  1.1799633e-05     -17.314189              0              0              0              0    -0.31476843 
 1028000    12952  0.00012989003    0.067548159  8.8275637e-05  2.9824015e-05  1.1790374e-05     -17.869334              0              0              0              0    -0.23900913 
 1029000    12952  7.6763982e-05    0.067523906  6.4975306e-05  6.7666603e-09  1.1781909e-05     -19.315894              0              0              0              0        0.17659 
 1030000    12952  0.00013110212    0.067503683  9.1646607e-05  2.7680661e-05  1.1774853e-05     -20.061558              0              0              0              0     -0.1875095 
 1031000    12952  7.1602308e-05     0.06748204  5.9729538e-05  1.0546624e-07  1.1767304e-05     -21.933571              0              0              0              0     0.30712271 
 1032000    12952  0.00010775737    0.067466459  7.6431011e-05  1.9564491e-05  1.1761871e-05     -23.144996              0              0              0              0    -0.27193986 
 1033000    12952  7.7472403e-05     0.06744549  6.5691748e-05  2.6094466e-08   1.175456e-05     -24.530526              0              0              0              0      0.3961653 
 1034000    12952  0.00010364985    0.067430348   7.406676e-05  1.7833809e-05  1.1749283e-05     -25.341174              0              0              0              0    -0.31711238 
 1035000    12952  7.3762203e-05    0.067409769  6.1988724e-05  3.1366288e-08  1.1742113e-05     -26.684406              0              0              0              0     0.47818312 
 1036000    12952  0.00011011664    0.067397078  8.2501549e-05  1.5877399e-05  1.1737692e-05      -27.35024              0              0              0              0    -0.72392605 
 1037000    12952  7.2518755e-05    0.067375054  6.0780365e-05  8.3686939e-09  1.1730022e-05      -28.39158              0              0              0              0     0.69260434 
 1038000    12952  8.4401346e-05    0.067366323  6.1580364e-05     1.1094e-05  1.1726982e-05      -29.51344              0              0              0              0    -0.72242719 
 1039000    12952  8.8274937e-05    0.067345283  7.6333593e-05  2.2168694e-07  1.1719658e-05     -30.496035              0              0              0              0     0.55329424 
 1040000    12952  7.5043153e-05     0.06733681  5.7201909e-05  6.1245354e-06  1.1716709e-05     -31.494269              0              0              0              0    -0.52383704 
 1041000    12952    8.25547e-05     0.06731952  7.0486767e-05  3.5724045e-07  1.1710693e-05     -33.106519              0              0              0              0     0.48252244 
 1042000    12952  8.5208352e-05    0.067310251  6.8087145e-05  5.4137386e-06  1.1707468e-05     -33.939091              0              0              0              0    -0.49990741 
 1043000    12952  8.5606039e-05    0.067293505  7.3303089e-05  6.0130675e-07  1.1701643e-05      -34.88203              0              0              0              0     0.37900608 
 1044000    12952  8.6012337e-05     0.06728511  7.0629838e-05  3.6837752e-06  1.1698724e-05     -35.399023              0              0              0              0    -0.49047342 
 1045000    12952  8.1625021e-05     0.06726984  6.9043755e-05  8.8785117e-07  1.1693415e-05     -36.298302              0              0              0              0     0.25614273 
 1046000    12952  7.3164079e-05    0.067261037  5.9173582e-05  2.3001426e-06  1.1690355e-05     -37.043704              0              0              0              0    -0.27419455 
 1047000    12952  8.7151975e-05    0.067248301  7.4127314e-05  1.3387331e-06  1.1685928e-05     -37.869492              0              0              0              0     0.24003532 
 1048000    12952  7.6209613e-05    0.067238542  6.2271086e-05  2.2559905e-06  1.1682536e-05     -38.306168              0              0              0              0    -0.13017749 
 1049000    12952  8.4589211e-05    0.067228017   7.235013e-05  5.6020268e-07  1.1678879e-05     -39.392591              0              0              0              0     0.12403166 
 1050000    12952  0.00011179942    0.067216901  9.5590028e-05  4.5343735e-06  1.1675017e-05     -39.126604              0              0              0              0    -0.21537815 
 1051000    12952   9.545061e-05    0.067199062  8.1575419e-05  2.2063698e-06  1.1668821e-05     -39.408571              0              0              0              0      0.4355595 
 1052000    12952  8.2542012e-05    0.067190566  6.9816247e-05  1.0598942e-06  1.1665871e-05     -40.365963              0              0              0              0    -0.22400511 
 1053000    12952  9.9876529e-05    0.067177836  8.5687553e-05   2.527525e-06  1.1661451e-05      -41.24497              0              0              0              0     0.15951033 
 1054000    12952  8.3610159e-05    0.067170448  7.1750477e-05  2.0079608e-07  1.1658886e-05     -41.834235              0              0              0              0    -0.17010288 
 1055000    12952   9.819625e-05    0.067159997  8.4271331e-05  2.2696612e-06  1.1655258e-05     -42.815167              0              0              0              0     0.18465946 
 1056000    12952  0.00010992222    0.067151037  9.7337625e-05  9.3244992e-07  1.1652148e-05     -42.689491              0              0              0              0   -0.081886074 
 1057000    12952  9.5781817e-05    0.067141423  8.3143233e-05  9.8977224e-07  1.1648812e-05     -43.166578              0              0              0              0     0.30923815 
 1058000    12952  8.9037107e-05     0.06713413  7.6300533e-05  1.0902923e-06  1.1646282e-05     -43.643542              0              0              0              0    -0.15705916 
 1059000    12952   0.0001011554    0.067122489  8.7852656e-05  1.6605031e-06  1.1642243e-05     -44.417612              0              0              0              0     0.20324921 
 1060000    12952  0.00011534701    0.067115034  0.00010266282  1.0445301e-06  1.1639657e-05     -44.048406              0              0              0              0    -0.33829623 
 1061000    12952  9.4466853e-05    0.067101332  8.1605404e-05  1.2265434e-06  1.1634905e-05     -44.549187              0              0              0              0     0.75599812 
 1062000    12952  8.7303648e-05    0.067099869  7.5109714e-05  5.5953691e-07  1.1634398e-05     -44.728618              0              0              0              0     -0.8017593 
 1063000    12952  9.7607264e-05    0.067086598   8.508223e-05  8.9523719e-07  1.1629796e-05     -45.799671              0              0              0              0     0.82657491 
 1064000    12952  0.00012835595    0.067083842  0.00011480564   1.921471e-06  1.1628841e-05     -45.070185              0              0              0              0    -0.98773038 
 1065000    12952  0.00011580472    0.067066556   0.0001032457  9.3617243e-07  1.1622848e-05     -45.331002              0              0              0              0      1.0846501 
 1066000    12952  0.00010128077    0.067066715  8.9500892e-05  1.5697907e-07  1.1622904e-05     -46.049559              0              0              0              0    -0.84295752 
 1067000    12952  0.00010927221    0.067053891  9.5729463e-05  1.9242896e-06  1.1618459e-05     -46.757561              0              0              0              0     0.49921749 
 1068000    12952   9.516364e-05    0.067049925  8.3536599e-05  9.9569147e-09  1.1617085e-05     -47.143505              0              0              0              0    -0.13635945 
 1069000    12952   0.0001028117    0.067043693  8.9127369e-05  2.0694042e-06  1.1614925e-05     -47.457556              0              0              0              0    0.030639763 
 1070000    12952   8.974362e-05    0.067038795  7.7975529e-05  1.5486261e-07  1.1613228e-05     -48.109611              0              0              0              0   -0.036991611 
 1071000    12952    0.000101026    0.067035098  8.7236126e-05  2.1779229e-06  1.1611947e-05     -48.694287              0              0              0              0    -0.37778611 
 1072000    12952  0.00012460494    0.067025734  0.00011290462  9.1618166e-08  1.1608704e-05      -48.51176              0              0              0              0     0.25639802 
 1073000    12952  8.1410846e-05    0.067022905  6.9192138e-05  6.1098378e-07  1.1607724e-05     -49.319875              0              0              0              0    -0.20422169 
 1074000    12952  7.8082711e-05    0.067017844  6.6440962e-05  3.5778389e-08  1.1605971e-05     -50.388147              0              0              0              0     0.10404696 
 1075000    12952   0.0001045172    0.067014831  9.2238557e-05  6.7371348e-07  1.1604927e-05     -50.298947              0              0              0              0    -0.38834818 
 1076000    12952  8.5580461e-05    0.067006745  7.3964749e-05  1.3585057e-08  1.1602127e-05     -51.388312              0              0              0              0     0.58704449 
 1077000    12952  9.5932121e-05    0.067008261  8.3986442e-05  3.4302741e-07  1.1602652e-05     -51.906566              0              0              0              0    -0.61814992 
 1078000    12952   9.958006e-05    0.066997428  8.7584443e-05  3.9671607e-07  1.1598901e-05     -52.443706              0              0              0              0     0.86982499 
 1079000    12952   0.0001045692    0.066998146  9.2260692e-05  7.0935655e-07  1.1599149e-05     -51.997491              0              0              0              0     -1.0485306 
 1080000    12952   8.562319e-05      0.0669867  7.4020965e-05  7.0389172e-09  1.1595186e-05     -53.377991              0              0              0              0      1.0300814 
 1081000    12952  0.00010567237    0.066990789   9.317886e-05  8.9690966e-07  1.1596602e-05     -52.995519              0              0              0              0     -1.1002157 
 1082000    12952  8.8778075e-05    0.066978683  7.7067028e-05  1.1863598e-07  1.1592411e-05     -54.416976              0              0              0              0      1.2922769 
 1083000    12952  8.6200015e-05    0.066987198   7.381961e-05  7.8504575e-07  1.1595359e-05     -53.850777              0              0              0              0     -1.6543704 
 1084000    12952  9.9999583e-05    0.066972856  8.8338764e-05  7.0425011e-08  1.1590394e-05      -55.39757              0              0              0              0      1.3528997 
 1085000    12952  9.7509348e-05    0.066981188  8.5498239e-05  4.1783121e-07  1.1593278e-05     -54.701774              0              0              0              0     -1.1271887 
 1086000    12952  8.2022111e-05    0.066970952  7.0347706e-05  8.4670323e-08  1.1589735e-05     -56.397237              0              0              0              0      1.0470035 
 1087000    12952  9.7499551e-05    0.066978308  8.5537575e-05  3.6969459e-07  1.1592281e-05     -55.943224              0              0              0              0     -1.2453347 
 1088000    12952  8.1001001e-05    0.066968686  6.9279147e-05  1.3290343e-07  1.1588951e-05     -57.395878              0              0              0              0      1.1862984 
 1089000    12952  0.00010098856    0.066977826  8.9351502e-05  4.4943805e-08  1.1592114e-05     -56.803007              0              0              0              0     -1.1019501 
 1090000    12952  8.6820147e-05    0.066972123   7.452541e-05  7.0459703e-07   1.159014e-05     -58.365851              0              0              0              0      1.1079777 
 1091000    12952  9.6429841e-05    0.066983896  8.4829706e-05  5.9201728e-09  1.1594215e-05     -58.162907              0              0              0              0     -1.1262248 
 1092000    12952  9.4206071e-05    0.066976407   8.255955e-05  5.4897603e-08  1.1591623e-05     -59.292493              0              0              0              0      1.1692937 
 1093000    12952  9.4220599e-05    0.066986471  8.2587133e-05  3.8358473e-08  1.1595107e-05     -58.918885              0              0              0              0     -1.1554973 
 1094000    12952  9.0958211e-05    0.066979718  7.9294658e-05  7.0784275e-08  1.1592769e-05     -60.611066              0              0              0              0         1.1082 
 1095000    12952  0.00011485662    0.066988458  0.00010324957  1.1255189e-08  1.1595795e-05     -59.783616              0              0              0              0     -1.2202348 
 1096000    12952  0.00010177461     0.06697547  8.9255148e-05  9.2816478e-07  1.1591299e-05     -59.610956              0              0              0              0      1.3012644 
 1097000    12952   0.0001023623      0.0669869  8.7585231e-05  3.1818161e-06  1.1595256e-05     -59.997554              0              0              0              0      -0.995319 
 1098000    12952  0.00011848184    0.066979372  0.00010198909  4.9001025e-06   1.159265e-05     -59.998092              0              0              0              0     0.51813521 
 1099000    12952  0.00012018864    0.066981969   0.0001037132  4.8818912e-06  1.1593549e-05     -59.824323              0              0              0              0    -0.17410873 
 1100000    12952  0.00011670971    0.066980042   0.0001005433  4.5735257e-06  1.1592881e-05      -59.74247              0              0              0              0     0.25844376 
 1101000    12952  0.00010608938    0.066979764  9.0788951e-05  3.7076481e-06  1.1592785e-05     -60.161163              0              0              0              0    0.015979586 
 1102000    12952  0.00010449738    0.066979031  8.8088253e-05  4.8165984e-06  1.1592532e-05     -60.349256              0              0              0              0    -0.10360306 
 1103000    12952  0.00011316793    0.066979381  9.6021764e-05  5.5535165e-06  1.1592653e-05     -60.997136              0              0              0              0    0.059844783 
 1104000    12952  9.5644405e-05    0.066982147  8.0323141e-05  3.7276537e-06   1.159361e-05     -61.385573              0              0              0              0    -0.42157112 
 1105000    12952  0.00010304277     0.06697999  8.7952824e-05  3.4970814e-06  1.1592863e-05     -61.818418              0              0              0              0     0.34898313 
 1106000    12952  0.00012647895    0.066983436   0.0001115011  3.3837964e-06  1.1594056e-05     -60.998384              0              0              0              0    -0.58708209 
 1107000    12952  0.00012044507    0.066975699  0.00010777886   1.074832e-06  1.1591378e-05     -61.102403              0              0              0              0     0.68574306 
 1108000    12952  9.3787975e-05    0.066980976  8.1776148e-05  4.1862247e-07  1.1593205e-05     -61.197013              0              0              0              0    -0.48011726 
 1109000    12952  9.8728149e-05    0.066979637  8.6178209e-05  9.5719827e-07  1.1592741e-05     -62.296025              0              0              0              0     0.54016215 
 1110000    12952  9.3158822e-05    0.066985094  8.1466648e-05  9.7544488e-08   1.159463e-05     -62.552514              0              0              0              0    -0.23704855 
 1111000    12952  9.6411137e-05    0.066985107  8.4410657e-05  4.0584561e-07  1.1594635e-05     -63.062025              0              0              0              0     0.17234777 
 1112000    12952  8.2822369e-05    0.066987352  7.1145461e-05  8.1496392e-08  1.1595412e-05     -63.064529              0              0              0              0    -0.15912038 
 1113000    12952   9.416473e-05    0.066983777  8.2344716e-05  2.2583956e-07  1.1594174e-05     -63.108031              0              0              0              0    0.067038197 
 1114000    12952  0.00011305689    0.066982549  0.00010134202  1.2112026e-07  1.1593749e-05     -62.078174              0              0              0              0    -0.49145614 
 1115000    12952  8.1921581e-05    0.066973256  7.0273464e-05  5.7584816e-08  1.1590533e-05     -62.713766              0              0              0              0      1.1459811 
 1116000    12952  9.2574648e-05    0.066986275  7.9335327e-05  1.6442816e-06  1.1595039e-05     -62.966753              0              0              0              0     -1.3649898 
