# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
unfix   fixBase
variable	vTop equal v_gammat*xcm(top,y)
fix     fixBase base move variable NULL NULL NULL v_vTop NULL NULL
run		${runstep}
run		500000
Setting up run at Tue Mar 18 23:33:27 2025

Memory usage per processor = 10.9382 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  0.00016915093    0.068076775  9.1863308e-05  7.0270653e-05   7.016973e-06      69.931887              0              0              0              0      8.3833747 
 1001000    12952  0.00024042347    0.068113213  6.2109815e-05  0.00017128917  7.0244867e-06      59.167091              0              0              0              0     -6.5585099 
 1002000    12952  9.6616704e-05    0.068026373  5.6464308e-05  3.3145809e-05  7.0065866e-06      54.684975              0              0              0              0      8.6799116 
 1003000    12952  0.00018033521    0.068069202  7.6953548e-05  9.6366254e-05   7.015412e-06      45.202412              0              0              0              0     -7.3914553 
 1004000    12952  7.3174505e-05    0.067981641   6.131802e-05  4.8591099e-06   6.997375e-06      41.446007              0              0              0              0       7.914063 
 1005000    12952  0.00010342298    0.068020236   5.167103e-05  4.4746623e-05  7.0053224e-06      34.794013              0              0              0              0     -7.6177747 
 1006000    12952  4.7191067e-05    0.067934069  4.0089632e-05  1.1385056e-07  6.9875851e-06      33.072871              0              0              0              0      7.5866883 
 1007000    12952  7.8538156e-05    0.067968192  5.4504958e-05  1.7038591e-05  6.9946065e-06      27.800832              0              0              0              0     -6.9477246 
 1008000    12952  6.2296404e-05    0.067886196  4.5207436e-05  1.0111227e-05  6.9777404e-06      26.394245              0              0              0              0      6.8803175 
 1009000    12952  6.1707185e-05    0.067914627  5.2550796e-05  2.1728025e-06  6.9835862e-06      21.975211              0              0              0              0     -6.1691997 
 1010000    12952  7.7060852e-05    0.067842412  4.4927851e-05  2.5164259e-05  6.9687424e-06      20.232816              0              0              0              0      5.7347766 
 1011000    12952  5.8002389e-05    0.067861691  5.1025589e-05  4.0963187e-09  6.9727037e-06      16.941482              0              0              0              0     -5.1783515 
 1012000    12952  9.2537009e-05    0.067799228  4.7365385e-05   3.821175e-05  6.9598736e-06      15.320967              0              0              0              0      4.5941394 
 1013000    12952  5.7263656e-05    0.067809268  4.9238672e-05   1.063049e-06  6.9619351e-06      12.422995              0              0              0              0     -4.0087013 
 1014000    12952  0.00010500691    0.067756686  5.2061418e-05  4.5994348e-05  6.9511421e-06      10.570682              0              0              0              0      3.5181417 
 1015000    12952  5.8913194e-05    0.067757895  4.9834061e-05  2.1277429e-06  6.9513903e-06      8.1173341              0              0              0              0     -2.9966369 
 1016000    12952  0.00010271427    0.067715039  5.2517565e-05  4.3254108e-05  6.9425996e-06      6.2922584              0              0              0              0       2.557374 
