# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Mon Aug 12 20:56:19 2024

Memory usage per processor = 10.9157 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  1.7225573e-05    0.068390336  3.8344363e-06  1.3391137e-05  1.9334817e-36      70.445492              0              0              0              0    -0.44329332 
 1001000    12952  2.0993606e-05    0.068387487  4.6898498e-06  1.6302484e-05  1.2722634e-09      70.357472              0              0              0              0     0.23426378 
 1002000    12952  1.8576023e-05    0.068388116  3.9661187e-06  1.4604815e-05  5.0889365e-09      69.959587              0              0              0              0    -0.20542065 
 1003000    12952   1.998688e-05    0.068386692   4.299352e-06  1.5676079e-05  1.1448899e-08      69.593973              0              0              0              0   -0.020614632 
 1004000    12952  1.6813978e-05    0.068385179   3.735259e-06  1.3058369e-05  2.0350784e-08      69.097671              0              0              0              0    0.011133116 
 1005000    12952  1.9121643e-05    0.068384838  4.0792759e-06  1.5010573e-05  3.1794078e-08      68.436939              0              0              0              0    -0.19773079 
 1006000    12952  1.4886302e-05    0.068381176  3.4338577e-06  1.1406672e-05  4.5771858e-08      67.818459              0              0              0              0      0.2136285 
 1007000    12952  1.7998227e-05    0.068381842  3.9284052e-06  1.4007531e-05  6.2291251e-08      66.873112              0              0              0              0    -0.39362625 
 1008000    12952  1.2773464e-05    0.068376039  3.1263633e-06  9.5657705e-06  8.1329995e-08      66.155413              0              0              0              0     0.42874353 
 1009000    12952  1.6609732e-05    0.068377651  3.7838436e-06  1.2722973e-05  1.0291527e-07      64.956017              0              0              0              0    -0.57398802 
 1010000    12952  1.0692697e-05    0.068369726  2.8813166e-06  7.6843859e-06  1.2699448e-07      64.130041              0              0              0              0     0.64363421 
 1011000    12952  1.5072602e-05    0.068372286  3.6187288e-06  1.1300241e-05  1.5363258e-07      62.697882              0              0              0              0    -0.75170669 
 1012000    12952   8.723426e-06    0.068362274  2.7457805e-06  5.7949191e-06  1.8272633e-07      61.775941              0              0              0              0     0.84190857 
 1013000    12952  1.3669563e-05    0.068365624  3.5766841e-06  9.8784782e-06  2.1440039e-07      60.131599              0              0              0              0    -0.93400729 
 1014000    12952  7.0794702e-06    0.068353621  2.7423974e-06   4.088595e-06  2.4847774e-07      59.102336              0              0              0              0      1.0033558 
 1015000    12952  1.2032332e-05    0.068357781  3.5027809e-06  8.2443828e-06  2.8516847e-07      57.260156              0              0              0              0      -1.098907 
 1016000    12952  5.7481639e-06    0.068343818  2.9860215e-06  2.4379493e-06  3.2419308e-07      56.157847              0              0              0              0      1.1602585 
 1017000    12952  1.0381546e-05    0.068348411   3.552755e-06  6.4629172e-06  3.6587414e-07      54.185501              0              0              0              0     -1.2278839 
 1018000    12952  4.1383498e-06    0.068332082  2.9241985e-06  8.0435246e-07  4.0979889e-07      53.109534              0              0              0              0      1.3152412 
 1019000    12952  7.8112831e-06    0.068337036  3.4689062e-06  3.8859359e-06  4.5644095e-07      51.075021              0              0              0              0     -1.2972279 
 1020000    12952  3.8638725e-06    0.068320236  3.2039627e-06  1.5466653e-07  5.0524319e-07      49.782644              0              0              0              0      1.3737776 
 1021000    12952  6.8410814e-06     0.06832498  3.6374641e-06  2.6468099e-06  5.5680742e-07      47.581615              0              0              0              0     -1.3662886 
 1022000    12952  4.0048995e-06      0.0683072   3.342472e-06  5.1992292e-08  6.1043512e-07      46.313099              0              0              0              0       1.355366 
 1023000    12952  6.0864539e-06    0.068311161   3.872603e-06  1.5469785e-06  6.6687246e-07      44.185764              0              0              0              0     -1.3610954 
 1024000    12952  5.7646415e-06    0.068292687  4.3930161e-06  6.4634556e-07  7.2527985e-07      42.869908              0              0              0              0      1.2868411 
 1025000    12952  7.0214738e-06    0.068294419   5.084406e-06  1.1505569e-06  7.8651087e-07      40.861852              0              0              0              0     -1.2799538 
 1026000    12952  6.9215077e-06    0.068275851  5.0271344e-06  1.0447171e-06  8.4965623e-07      39.546307              0              0              0              0      1.2943295 
 1027000    12952  7.6477348e-06      0.0682774  6.1761736e-06  5.5588836e-07  9.1567275e-07      37.403834              0              0              0              0     -1.1845887 
 1028000    12952  1.0010489e-05    0.068259394  6.6724895e-06  2.3544757e-06  9.8352377e-07       35.90583              0              0              0              0      1.0600796 
 1029000    12952  6.7928284e-06    0.068258313  5.5272106e-06  2.1141432e-07  1.0542035e-06      34.069763              0              0              0              0    -0.96384439 
 1030000    12952    1.23201e-05    0.068241474  7.6449648e-06  3.5484081e-06  1.1267274e-06      32.657626              0              0              0              0     0.86975663 
 1031000    12952  8.4976281e-06    0.068238496  7.1928986e-06  1.0270823e-07  1.2020213e-06      30.719727              0              0              0              0    -0.79536826 
 1032000    12952   1.332951e-05    0.068222751  7.5532528e-06  4.4970894e-06  1.2791678e-06      29.371592              0              0              0              0      0.6512509 
 1033000    12952  1.0748936e-05    0.068217235  9.3071084e-06  8.2849426e-08  1.3589782e-06      27.620466              0              0              0              0    -0.60321321 
 1034000    12952  1.5941711e-05    0.068201824    8.79551e-06  5.7055384e-06   1.440663e-06      26.198878              0              0              0              0     0.51519444 
 1035000    12952  1.3006665e-05    0.068193978  1.1400017e-05  8.1735635e-08  1.5249124e-06      24.621041              0              0              0              0    -0.40766766 
 1036000    12952  1.7380078e-05    0.068179847  9.9735026e-06  5.7954594e-06  1.6111164e-06      23.078059              0              0              0              0     0.32267332 
 1037000    12952  1.1944122e-05    0.068170587  1.0192421e-05  5.1937066e-08  1.6997634e-06      21.576822              0              0              0              0    -0.21639686 
 1038000    12952  1.9675084e-05    0.068157842  1.1438819e-05  6.4458243e-06  1.7904403e-06      20.077112              0              0              0              0    0.064858754 
 1039000    12952  1.3408657e-05    0.068145859  1.1418232e-05  1.0709152e-07   1.883333e-06      18.774967              0              0              0              0    0.056901005 
 1040000    12952  2.9976347e-05    0.068131808  1.7187793e-05  1.0810283e-05  1.9782708e-06       17.78545              0              0              0              0    -0.14113415 
 1041000    12952  1.3980598e-05    0.068117716  1.1798885e-05  1.0637595e-07  2.0753362e-06       16.15794              0              0              0              0     0.19043651 
 1042000    12952  3.0066953e-05    0.068106665  1.7448227e-05  1.0444011e-05  2.1747146e-06      14.874979              0              0              0              0    -0.28239742 
 1043000    12952  1.8564254e-05    0.068088872  1.6143265e-05  1.4523567e-07  2.2757536e-06      13.861171              0              0              0              0     0.36794612 
 1044000    12952  2.4222944e-05    0.068079116  1.4815553e-05  7.0279784e-06  2.3794126e-06      12.284424              0              0              0              0    -0.49049135 
 1045000    12952  1.8928466e-05    0.068061395   1.605977e-05  3.8412313e-07   2.484573e-06      10.987937              0              0              0              0     0.55439834 
 1046000    12952  2.6112572e-05    0.068052018  1.7214498e-05  6.3056861e-06   2.592388e-06      9.6670212              0              0              0              0    -0.57233876 
