# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Wed Aug  7 22:15:26 2024

Memory usage per processor = 10.9145 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  1.2408724e-05    0.068402026   3.167408e-06  9.2413155e-06   1.699933e-36      67.187329              0              0              0              0     -2.0755524 
 1001000    12952  8.1031738e-06    0.068385605  1.9326501e-06  6.1694056e-06  1.1181369e-09      67.857677              0              0              0              0      1.9576625 
 1002000    12952  7.8499922e-06    0.068401126  2.1997914e-06  5.6457265e-06  4.4744068e-09      66.736898              0              0              0              0     -2.1969972 
 1003000    12952  5.9852457e-06    0.068383964  1.5840107e-06  4.3911734e-06  1.0061691e-08      67.235473              0              0              0              0      2.0085667 
 1004000    12952  6.3895815e-06     0.06839938   1.728683e-06  4.6430046e-06  1.7893887e-08      65.891426              0              0              0              0     -2.2212206 
 1005000    12952  4.2382795e-06    0.068381415  1.2740634e-06   2.936275e-06  2.7941176e-08      66.204821              0              0              0              0      2.0652627 
 1006000    12952  5.1482492e-06    0.068396532  1.4565153e-06  3.6514867e-06  4.0247295e-08      64.664067              0              0              0              0     -2.2035915 
 1007000    12952  2.8475839e-06    0.068377871  1.0750835e-06  1.7177587e-06  5.4741742e-08      64.800403              0              0              0              0      2.0949733 
 1008000    12952  4.0423391e-06    0.068392518  1.3183164e-06  2.6525067e-06  7.1515985e-08      63.089937              0              0              0              0     -2.1838364 
 1009000    12952  1.8362157e-06    0.068373206  9.6202538e-07  7.8374926e-07  9.0441015e-08      63.039176              0              0              0              0      2.1239479 
 1010000    12952  3.2626973e-06    0.068386885  1.3038038e-06  1.8472211e-06  1.1167238e-07      61.184744              0              0              0              0     -2.0766468 
 1011000    12952  1.3663611e-06     0.06836755  9.9332417e-07  2.3802715e-07   1.350098e-07      60.948624              0              0              0              0      2.0830331 
 1012000    12952  2.4143158e-06    0.068380437  1.2276911e-06    1.02594e-06   1.606848e-07      59.012862              0              0              0              0     -2.0154762 
 1013000    12952  1.3992084e-06    0.068361046  1.1890917e-06  2.1704263e-08  1.8841246e-07      58.582611              0              0              0              0      1.9879554 
 1014000    12952  2.1124123e-06    0.068372675  1.4529307e-06  4.4097111e-07  2.1851055e-07      56.570433              0              0              0              0     -1.9130631 
 1015000    12952  2.2458911e-06    0.068353487  1.6789993e-06  3.1628711e-07  2.5060471e-07      55.924443              0              0              0              0       1.854775 
 1016000    12952  2.2650377e-06    0.068363475  1.8712114e-06  1.0872699e-07  2.8509939e-07      53.845122              0              0              0              0     -1.7919159 
 1017000    12952  3.9569444e-06    0.068344632  2.4005499e-06   1.234861e-06  3.2153339e-07      53.025396              0              0              0              0      1.6384855 
 1018000    12952  2.6268713e-06    0.068352313  2.2330472e-06  3.3435885e-08  3.6038818e-07       50.99665              0              0              0              0     -1.5769409 
 1019000    12952  5.7263461e-06    0.068334804  2.8646424e-06  2.4605611e-06  4.0114256e-07      50.008969              0              0              0              0      1.4341154 
 1020000    12952  3.3566116e-06    0.068339947  2.7492057e-06   1.630882e-07  4.4431765e-07      47.976651              0              0              0              0     -1.3530681 
 1021000    12952  8.2222794e-06    0.068323754  3.8135328e-06  3.9193826e-06  4.8936399e-07      46.789823              0              0              0              0      1.1537661 
 1022000    12952  4.1527012e-06    0.068326121  3.2532042e-06  3.6268452e-07  5.3681242e-07      44.825025              0              0              0              0     -1.0769985 
 1023000    12952  9.8745393e-06    0.068311654  4.1997995e-06  5.0886128e-06  5.8612698e-07      43.489475              0              0              0              0     0.87845456 
 1024000    12952  4.7462761e-06    0.068311154  3.5954501e-06  5.1302845e-07  6.3779755e-07      41.618301              0              0              0              0    -0.76149406 
 1025000    12952  1.1716156e-05    0.068298567  4.9652967e-06  6.0595056e-06  6.9135352e-07      40.139722              0              0              0              0     0.59138095 
 1026000    12952  5.8781194e-06    0.068294226  4.8136319e-06  3.1731764e-07  7.4716988e-07       38.44532              0              0              0              0    -0.46089419 
 1027000    12952  1.3096038e-05      0.0682835  6.4422075e-06  5.8488955e-06  8.0493464e-07      36.771437              0              0              0              0     0.28893636 
 1028000    12952  5.8268595e-06    0.068276855  4.7334963e-06  2.2849618e-07  8.6486706e-07      35.065281              0              0              0              0    -0.18124217 
 1029000    12952  1.3283624e-05    0.068267521  6.2413598e-06  6.1154677e-06  9.2679654e-07      33.594105              0              0              0              0    0.039675076 
 1030000    12952  7.5092984e-06    0.068257724  6.4361394e-06  8.2400038e-08  9.9075891e-07      31.958466              0              0              0              0     0.10277918 
 1031000    12952  1.2855261e-05    0.068249817  6.4274897e-06  5.3709557e-06  1.0568152e-06      30.284753              0              0              0              0    -0.21049271 
 1032000    12952  7.2954733e-06    0.068238191  6.1484266e-06  2.2269809e-08  1.1247769e-06        28.8459              0              0              0              0     0.26932452 
 1033000    12952  1.5039623e-05     0.06823033  8.3533093e-06    5.49144e-06  1.1948737e-06      27.330443              0              0              0              0    -0.35855413 
 1034000    12952  8.7630243e-06    0.068215932  7.3747776e-06  1.2151576e-07  1.2667309e-06      25.846533              0              0              0              0      0.5074013 
 1035000    12952   1.302654e-05    0.068210359  8.0004608e-06  3.6851793e-06  1.3408996e-06      24.219842              0              0              0              0    -0.57572041 
 1036000    12952   9.894646e-06    0.068194639  7.9636843e-06  5.1432756e-07  1.4166342e-06      22.879163              0              0              0              0     0.62558269 
 1037000    12952  1.3276466e-05    0.068189195  8.9059032e-06  2.8758142e-06  1.4947489e-06      21.261789              0              0              0              0    -0.67858117 
 1038000    12952  1.2110121e-05    0.068172288  9.2926425e-06  1.2431827e-06  1.5742957e-06      20.015231              0              0              0              0     0.67519295 
 1039000    12952  1.4724468e-05    0.068165602  1.0753669e-05  2.3145664e-06  1.6562329e-06        18.6745              0              0              0              0    -0.49993341 
 1040000    12952  1.3466016e-05    0.068149936  1.0328425e-05  1.3979513e-06   1.739639e-06      17.209885              0              0              0              0     0.59700072 
 1041000    12952  1.4463976e-05    0.068143234  1.0866351e-05  1.7722319e-06  1.8253936e-06      15.823696              0              0              0              0     -0.5302426 
 1042000    12952  1.5623185e-05    0.068127288   1.153468e-05  2.1759771e-06  1.9125272e-06      14.582034              0              0              0              0     0.48387973 
 1043000    12952  1.6446295e-05    0.068119327  1.2751213e-05  1.6931183e-06  2.0019642e-06      13.299276              0              0              0              0    -0.59712484 
 1044000    12952  1.8624745e-05    0.068102783  1.3637485e-05  2.8945256e-06  2.0927344e-06      12.116188              0              0              0              0     0.41058058 
 1045000    12952  2.1545652e-05    0.068093429  1.7867854e-05  1.4920348e-06  2.1857632e-06      11.024222              0              0              0              0    -0.41260209 
 1046000    12952  2.2575271e-05    0.068076283  1.5748456e-05   4.546724e-06   2.280091e-06      9.9897322              0              0              0              0     0.41334269 
 1047000    12952  1.6659926e-05    0.068066922   1.368385e-05  5.9935623e-07  2.3767203e-06      8.5548989              0              0              0              0    -0.38600994 
 1048000    12952  2.4155293e-05    0.068051443  1.6548639e-05  5.1319612e-06  2.4746926e-06      7.5187313              0              0              0              0     0.24381636 
 1049000    12952  2.1183237e-05    0.068038834  1.7299961e-05  1.3086627e-06  2.5746136e-06      6.3898852              0              0              0              0    -0.24679324 
 1050000    12952  2.1148636e-05    0.068023957  1.4944214e-05  3.5283326e-06  2.6760891e-06      5.2261905              0              0              0              0     0.20377853 
 1051000    12952  2.2568151e-05    0.068011582  1.7863677e-05  1.9250056e-06  2.7794681e-06      3.9724491              0              0              0              0     -0.1726382 
 1052000    12952  2.5854153e-05    0.067995054  1.7581752e-05  5.3882086e-06  2.8841923e-06       3.105663              0              0              0              0    0.074456945 
 1053000    12952  2.6318707e-05    0.067980636  2.2010111e-05   1.317844e-06  2.9907524e-06       2.028416              0              0              0              0   -0.034018602 
